session_id,frame_no,ts,hfr,ecc,sky_adu,rms_ra,rms_dec,reject
123e4567-e89b-12d3-a456-426614174000,1,2024-01-15T20:00:00Z,2.8,0.15,450.2,0.35,0.28,false
123e4567-e89b-12d3-a456-426614174000,2,2024-01-15T20:01:00Z,2.6,0.12,452.1,0.32,0.30,false
123e4567-e89b-12d3-a456-426614174000,3,2024-01-15T20:02:00Z,2.9,0.18,448.5,0.38,0.25,true
123e4567-e89b-12d3-a456-426614174000,4,2024-01-15T20:03:00Z,2.5,0.11,453.8,0.30,0.27,false
123e4567-e89b-12d3-a456-426614174000,5,2024-01-15T20:04:00Z,2.7,0.14,451.0,0.33,0.29,false
123e4567-e89b-12d3-a456-426614174000,6,2024-01-15T20:05:00Z,3.1,0.20,447.2,0.40,0.32,true
123e4567-e89b-12d3-a456-426614174000,7,2024-01-15T20:06:00Z,2.4,0.10,454.5,0.28,0.26,false
123e4567-e89b-12d3-a456-426614174000,8,2024-01-15T20:07:00Z,2.6,0.13,452.3,0.31,0.28,false
123e4567-e89b-12d3-a456-426614174000,9,2024-01-15T20:08:00Z,2.8,0.16,449.8,0.34,0.30,false
123e4567-e89b-12d3-a456-426614174000,10,2024-01-15T20:09:00Z,2.5,0.12,453.1,0.29,0.27,false
123e4567-e89b-12d3-a456-426614174000,11,2024-01-15T20:10:00Z,2.7,0.14,451.5,0.32,0.29,false
123e4567-e89b-12d3-a456-426614174000,12,2024-01-15T20:11:00Z,2.9,0.17,448.9,0.36,0.31,false
123e4567-e89b-12d3-a456-426614174000,13,2024-01-15T20:12:00Z,2.4,0.11,454.2,0.27,0.26,false
123e4567-e89b-12d3-a456-426614174000,14,2024-01-15T20:13:00Z,2.6,0.13,452.7,0.30,0.28,false
123e4567-e89b-12d3-a456-426614174000,15,2024-01-15T20:14:00Z,2.8,0.15,450.5,0.33,0.29,false
